in_demand,state,amount_raised_usd,audio,art,podcasts_vlogs,launched,currency_HKD
False,0,2.5006052601368287e-06,0,0,0,0.4208581005956526,False
False,0,5.020694314443294e-05,0,0,0,0.9580107971758248,False
False,0,4.677542664937466e-06,0,0,0,0.5645001460094292,False
False,0,1.6057590843557056e-05,0,0,0,0.9403592851605672,False
True,0,0.0020145216967288,0,0,0,0.881520908680919,False
True,1,0.095385019328542,0,0,0,0.6886915122718094,False
False,0,4.1935873259303645e-05,0,0,0,0.988499772474908,False
False,0,2.097098502251113e-05,0,0,0,0.4753183610103066,False
False,0,2.813180917653932e-05,0,0,0,0.6417123213503331,False
False,0,0.0002561415433508,0,0,0,0.7653114840896897,False
False,0,0.0002602334428674,0,0,0,0.6170011331649148,False
False,0,6.194681212611689e-06,0,0,0,0.4808666821823157,False
False,0,9.434101663243489e-06,0,0,0,0.6533590752455076,False
False,0,0.0006967027246367,0,0,0,0.8419387333179147,False
False,0,0.000178111292847,1,0,0,0.7127710670520404,False
False,0,0.0001033772947315,0,0,0,0.9737901791288596,False
False,0,3.6258776271984014e-05,0,0,0,0.5443935743865467,False
False,0,0.0013652736400969,0,0,0,0.6881566179683167,False
False,0,7.410884680041874e-05,0,0,0,0.6102419604906393,False
True,1,0.0273139407606613,0,0,0,0.8660089769750847,False
False,0,6.231066282808074e-05,0,0,0,0.6481046054405724,False
False,0,7.444983842680103e-06,0,0,0,0.5109303236465275,False
False,0,0.0036040541631099,0,0,0,0.6084573667479081,False
False,0,6.38790980089499e-05,0,0,0,0.7032761143153072,False
False,0,1.1877874985649936e-05,0,0,0,0.613896848691879,False
False,0,0.0001704389812534,0,0,0,0.9071958383440206,False
False,0,4.256712136005647e-05,0,0,0,0.6066429730777481,False
False,0,1.6538093879541297e-05,0,0,0,0.5143679729460366,False
False,0,0.0003187697363385,0,0,0,0.7896010282203862,False
False,0,5.677510579265208e-05,0,0,0,0.3745968690766768,False
False,0,1.869770751329583e-05,0,0,0,0.5492335165835405,False
False,0,9.320437787782724e-06,0,0,0,0.7634553048975228,False
False,0,0.0001545260386889,0,0,0,0.7952241881630879,False
False,0,0.0004897208074227,0,0,0,0.3274154986330204,False
False,0,0.0001782328023011,0,0,0,0.5268780239597852,False
False,0,9.132892393272464e-05,0,0,0,0.4881847017765226,False
False,0,6.251513150342071e-07,0,0,0,0.5905311951750756,False
False,0,6.4788409012636015e-06,0,0,0,0.5086200910052083,False
